"Sample_ID","Cells_Before_QC","Cells_After_QC"
"GSM5554468",3711,505
"GSM5554469",1154,84
"GSM5554470",996,85
"GSM5554471",3288,151
"GSM5554472",2712,70
"GSM5554473",1559,41
"GSM5554474",4792,339
"GSM5554475",6630,378
"GSM5554476",463,31
"GSM5554477",4407,214
"GSM5554478",2643,267
"GSM5554479",3422,101
"GSM5554480",4092,342
"GSM5554481",213,2
"GSM5554482",3199,137
"GSM5554483",2347,148
"GSM5554484",3969,196
"GSM5554485",4243,173
"GSM5554486",2699,188
"GSM5554487",6251,258
"GSM5554488",2924,67
"GSM5554489",4138,26
"GSM5554490",970,14
"GSM5554491",2240,42
"GSM5554492",4682,386
"GSM5554493",1109,87
"GSM5554494",1776,307
"GSM5554495",5009,267
"GSM5554496",2453,45
"GSM5554497",1135,20
"GSM5554498",1510,27
"GSM5554499",1820,14
"GSM5554500",1725,12
"GSM5554501",585,48
"GSM5554502",756,29
"GSM5554503",1143,11
"GSM5554504",721,40
"GSM5554505",1415,21
"GSM5554506",854,31
"GSM5554507",854,14
"GSM5554508",1352,26
"GSM5554509",1053,14
"GSM5554510",1188,23
"GSM5554511",750,13
"GSM5554512",520,38
"GSM5554513",971,10
"GSM5554514",975,18
"GSM5554515",983,34
"GSM5554516",1340,11
